state,city,WARD_NO,ward_name,area_km2,tot_p,tot_m,tot_f,p_06,no_hh,sexratio,p_lit,p_ill,p_sc,p_st,tot_work_p,mainwork_p,margwork_p,non_work_p,LST_mean,LST_min,LST_max,LST_hotspot,heat_score,UHI_all_mean,UHI_all_stdDev,UHI_built_mean,nighttemp_hotspot,ndvi_mean,nightLST_mean,treeProb_mean,vegDeficit_mean,dwBuiltProb_mean,ghslDensity_mean,dimness_mean,totalPop,popDensity,riskScore,popAtRisk,exposureRate,pop_priority_level,builtAlbedo_mean,builtAlbedo_min,builtAlbedo_max,coolRoofPriorityScore,darkRoofArea_km2,potentialCooling_C,estimatedCost_Lakhs,builtFrac_pct,coolroof_priority_level,treePriorityScore,currentCanopy_pct,canopyDeficit_ha,treesNeeded,saplingsToPlant,totalCost_Lakhs,greeningUrgency,popInLowCanopy,tree_priority_level,activityHeatScore,dayLST,nightLST,avgLST_24h,ntl_mean,activity_priority_level,informalHousingScore,buildingDensity,vegetationDeficit,nightlightDimness,informal_priority_level,riskIndex,hazardIndex,exposureIndex,vulnerabilityIndex,priority_level
Uttar Pradesh,Agra,72,Agra (M Corp.) WARD NO.-0072,6.943897866211984,8684.0,4678.0,4006.0,1287.0,1486,856.0,5352.0,3332,3229,2,3137,1916,1221,5547,44.63691890294225,37.52576402,53.49817148000005,-0.6916107393635187,48.85412616610221,3.9790621813393607,2.8851902125894577,4.457123615142541,-1.311686678140677,0.350326737852809,18.815992218457907,5.177456261716309,63.12852559158561,30.45846359375349,39.959035184603856,81.94867491910763,39830.4304074493,5736.0334461799175,75.12870475437416,39830.4304074493,100,Low,0.1748331066294407,0.05698477499999999,0.4825807,0,0.3094675608814066,14.172229779018641,587.9883656746725,17.80296502558919,Low,117.24616265596057,0.4848783345422902,83.6431700248288,12547.0,16939.0,237.146,CRITICAL,32481.496240383967,Low,0.0,31.92774997710625,18.704010490204272,25.31588023365526,11.594226852072467,Low,40.78710098045016,25.431767640187125,57.467757449014485,81.00959817153561,Low,1.557928400320712,0.21120447446147994,10.59241158834654,1.6902249986235405,Low
Uttar Pradesh,Agra,10,Agra (M Corp.) WARD NO.-0010,2.1259349252020496,12631.0,6849.0,5782.0,1908.0,1964,844.0,7209.0,5422,3851,1,3284,2662,622,9347,47.06817406414851,43.75681448,50.94491054000002,1.7396444218427405,48.87008615288093,6.410317342545573,1.1382774890503633,5.839212197542176,-0.8440618320500058,0.22089223172713418,19.207557872468303,0.2956023480302267,82.7291402213043,32.2513479165563,35.899674667771784,99.34025847189766,15454.718403431012,7269.610287794764,201.51511413426505,15454.718403431012,100,High,0.18460600537685334,0.08154816666666667,0.2933995999999999,37.668229783020365,0.24411258713889022,13.84646648743822,463.81391556389144,49.75388562245654,Low,212.7976975668723,0.034012839632457104,36.50947348406405,5477.0,7394.0,103.516,CRITICAL,15559.700555524641,High,35.39815174222841,34.95145344608114,19.171635336294948,27.061544391188043,12.142360045450328,Low,64.31547941805572,42.46375979904902,82.00192549608921,90.79026463626643,High,2.7440675600176623,1.05,9.645734337046616,2.0401392136102587,Low
Uttar Pradesh,Agra,29,Agra (M Corp.) WARD NO.-0029,0.53989674494494,4004.0,2136.0,1868.0,475.0,662,875.0,2848.0,1156,1113,3,1364,1032,332,2640,46.17782402933423,43.182587119999994,48.58989475999999,0.8492943870284648,47.24610799200026,5.519967307731289,0.7474371452966815,5.344789260662165,-0.24894254292787138,0.21573434534536903,19.456871757540043,0.0,73.15091378459196,60.32015215289575,46.21368664366928,90.47715370128314,4390.002411023309,8131.188884035617,169.83569498145994,4390.002411023309,100,High,0.19483371091238139,0.08257795000000001,0.39961226666666666,42.374442736910034,0.08015994761002157,13.505542969587287,152.303900459041,70.58951049867036,Low,182.26736735124217,0.0,8.706958107530987,1307.0,1765.0,24.71,CRITICAL,4488.4378932578875,Medium,92.13393802369775,34.67163158426856,19.766754625417075,27.219193104842816,17.928535736083983,Low,64.22345896021075,49.02526581108329,80.58081478580344,80.25167729608818,High,2.3828112250434104,0.86707143071275,8.387312819644533,1.86033515925062,Low
Uttar Pradesh,Agra,26,Agra (M Corp.) WARD NO.-0026,0.36381579168274697,12455.0,6668.0,5787.0,1526.0,1905,868.0,6288.0,6167,5446,82,4158,3434,724,8297,45.270460470668425,42.82027700000003,48.46342802000004,-0.058069171637342265,46.96138897120055,4.6126037490655305,1.29392796828891,5.094250673865363,1.2273927787450334,0.26751181017022524,21.14920373942296,0.892240613925079,78.23881458869411,59.720076136021206,51.078314749130094,54.95792695962458,6541.334203114228,17979.797338809232,123.44871729493927,6541.334203114228,100,Low,0.16008885846974533,0.07046417999999999,0.3742798666666666,57.3048729380945,0.07421563043971331,14.663704717675156,141.00969783545528,72.90067328786459,Medium,149.37348215363173,0.551860723220724,5.499494912431467,825.0,1114.0,15.596,CRITICAL,6605.009274321912,Low,137.04383759700875,33.04038888888891,21.24308994708998,27.14173941798945,27.386133225834737,Low,53.25240968127774,51.41917347383511,73.36169694188649,46.046090457971594,Low,2.9922348817376183,1.284568841932738,8.786049292564549,2.373755723942108,High
Uttar Pradesh,Agra,52,Agra (M Corp.) WARD NO.-0052,0.20138148074886458,14996.0,7891.0,7105.0,2081.0,2284,900.0,9117.0,5879,4404,0,4359,3260,1099,10637,45.915028138157005,43.38425030000002,47.99686829000001,0.586498495851238,46.8798443613791,5.257171416554101,0.8099571579036858,5.356450575528976,1.4298717971723285,0.2212061275824391,21.406993690806228,0.12474299875972865,81.56359947347146,53.86973151290806,58.31438417554282,31.949136386863856,3001.1246306774674,14902.684296080131,138.33728963756153,3001.1246306774674,100,Medium,0.15449334522611297,0.07256637499999999,0.255042025,80.66663739971005,0.05303463750680134,14.850221825796234,100.76581126292255,90.49554980319854,High,170.57476065059262,0.12467816352128801,3.617223147290348,543.0,734.0,10.276,CRITICAL,2976.4640833835974,Medium,166.8140606482364,34.00170689655175,21.44556896551728,27.723637931034517,33.56532467598523,Medium,52.479570422046244,68.33912395683542,90.8107371988608,24.069762383598007,Low,3.1965498183194243,1.6210905001233118,8.007075527213548,2.5163048006248214,High
Uttar Pradesh,Agra,30,Agra (M Corp.) WARD NO.-0030,0.2288138559791206,17741.0,9329.0,8412.0,2128.0,2771,902.0,9747.0,7994,7869,9,5525,4310,1215,12216,45.63596671044996,44.17039490000002,47.39016974000003,0.30743706814418914,46.546032971135006,4.978109988847053,0.6887537491362347,5.024463996838861,1.3876361649884146,0.21315620552344391,21.384812396414713,0.0,91.79896361196117,63.03964951868398,59.041558131153636,5.8836326869477995,3032.320062914082,13252.344574756797,34.76342114869115,3032.320062914082,100,Low,0.16108500117210195,0.07274655000000001,0.3790093333333333,71.5862808568691,0.05562032062719695,14.630499960929933,105.6786091916742,87.49274310033312,High,161.42862486638938,0.0,4.0182370071101925,603.0,815.0,11.41,CRITICAL,3124.0625865562297,Low,176.92107461496568,33.52833333333335,21.403333333333364,27.465833333333357,43.762219499521215,High,24.86744602460838,65.03316594311,88.22690531471902,3.2988796318743305,Low,2.8392191039705885,1.498380582280122,8.017413028963773,1.9051989426227514,Medium
Uttar Pradesh,Agra,2,Agra (M Corp.) WARD NO.-0002,0.4515073596386401,17947.0,9825.0,8122.0,2584.0,2829,827.0,9290.0,8657,13966,2,4848,4097,751,13099,46.48377375949839,44.479725710000025,49.18121222000002,1.1552441171926233,47.68427505784953,5.82591703789549,0.7863598017071042,5.871893744404656,0.08374727609953152,0.22817342380221584,20.127514468709034,0.37577303962220077,82.6787784766247,47.14396557883877,59.567372483666716,80.92657085281809,4436.17390420951,9825.252699667979,191.16481234326693,4436.17390420951,100,High,0.16772665894243938,0.0706131,0.26964058999999996,79.23621865492554,0.10461265932934234,14.409111368585354,198.76405272575042,87.58244992727641,High,190.00772406068646,0.31829083799620783,7.759793425038869,1164.0,1572.0,22.008,CRITICAL,4375.516519613826,High,111.65412903408485,34.23176603432703,20.099444444444487,27.16560523938576,22.17938716044068,Low,72.13286690709718,66.84109554080746,86.96566786486835,68.605380525616,High,2.942887261717498,1.1465105862505327,8.397772944708093,2.6471507737965148,Medium
Uttar Pradesh,Agra,39,Agra (M Corp.) WARD NO.-0039,0.48197680921575875,7322.0,3927.0,3395.0,719.0,1274,865.0,5434.0,1888,1626,0,2188,1756,432,5134,46.23605463982444,42.35713529000003,49.656317,0.9075249975186708,48.24031185612289,5.578197918221493,1.4955719838642005,5.072335197664437,-0.048281709407717956,0.21495174227167116,19.79284921726128,0.1536556799079245,79.46282702568044,40.25126119728462,55.07578995063869,86.67596198073775,4204.759078635419,8723.986296098206,171.7559270311529,4204.759078635419,100,High,0.1981819434340365,0.07340873333333334,0.34892239999999997,35.35265966054758,0.06432015629103846,13.39393521886545,122.20829695297309,65.53392048605285,Low,183.18695117608027,0.04212494974344963,7.886126221377953,1183.0,1598.0,22.372,CRITICAL,4066.243399406881,Medium,92.80082064701949,34.20487318840582,19.967415458937232,27.086144323671526,18.540240214682733,Low,64.56189701001392,52.80035689015201,77.24657004541179,74.83483498889564,High,2.487756439321129,0.9897485078159275,8.344210074221541,1.8642900946601648,Low
Uttar Pradesh,Agra,51,Agra (M Corp.) WARD NO.-0051,0.31678863174041566,9691.0,5229.0,4462.0,1350.0,1603,853.0,5700.0,3991,1136,0,1977,1641,336,7714,44.70045710321116,38.29652753000005,48.68559932000005,-0.6280725390946102,46.82534543584291,4.042600381608261,2.355485416652308,5.276253162973936,-0.2584244410721904,0.27303429975884913,19.605075933783898,0.07934962787773289,63.49825245810316,42.874004839177864,44.37191271552374,87.58852294767829,2415.3079363355446,7624.35167911804,91.94675927608829,2415.3079363355446,100,Low,0.20020832717475545,0.07665609999999999,0.31320092499999996,12.215940713689378,0.03040344328875077,13.326389094174816,57.766542248626465,48.08713302439537,Low,112.23233689740906,0.052588204873571215,4.651440284087065,698.0,943.0,13.202,CRITICAL,2396.466662792131,Low,93.44351225868151,34.75698412698415,19.757272727272763,27.257128427128457,18.467056843932248,Low,53.01249676569288,39.83657992348145,65.10372644117187,76.3091030601216,Low,1.590793533921166,0.32577725366203425,7.789996008025267,1.5862931841223524,Low
Uttar Pradesh,Agra,83,Agra (M Corp.) WARD NO.-0083,0.5822381027256405,9594.0,4852.0,4742.0,907.0,1596,977.0,6640.0,2954,1537,1,3320,3044,276,6274,45.36916683100025,44.35154996000006,46.51344761000007,0.04063718869448252,45.93745417661253,4.711310109397227,0.4357158231207276,4.720305268803319,1.3287964178235112,0.2018826254496552,21.283751884877514,0.0,93.51607930805407,66.23757261747167,62.569304410524104,14.399813711826614,9150.247003203749,15715.644442314153,78.69436257311006,9150.247003203749,100,Low,0.17380992312437063,0.08067165000000001,0.5500708999999999,63.70659374488977,0.14246197649793682,14.206335895854313,270.67775534607995,96.94895712224233,Medium,157.13458330407377,0.0,11.199976686927423,1680.0,2268.0,31.752,CRITICAL,9098.244733054966,Low,178.18893430347666,33.33224744376281,21.344493586168465,27.33837051496564,40.25927211641372,High,35.64722264682586,72.5223825937288,96.34597531319696,10.253470613873885,Low,2.739179731047706,1.3717219663295122,9.121645433486819,1.6425640295138189,Low
Uttar Pradesh,Agra,86,Agra (M Corp.) WARD NO.-0086,0.2523012375933588,12271.0,6515.0,5756.0,1284.0,2220,883.0,8857.0,3414,271,7,3806,3449,357,8465,46.30473839316773,45.421390220000035,47.03298665,0.9762087508619643,46.67232254095032,5.6468816715647465,0.2864995784905828,5.646330458041982,0.8078544602067101,0.11442029336677387,20.83693627841869,0.0,99.90075991232825,36.17311627540664,91.34052993633136,46.09953593045582,5953.63993578144,23597.347331990077,185.65422334454846,5953.63993578144,100,High,0.18562384880498703,0.10740286000000002,0.3456281,67.58125820904097,0.057660134077067896,13.812538373167097,109.55425474642901,99.9058210178898,Medium,188.449751475392,0.0,4.990754653225654,749.0,1012.0,14.168,CRITICAL,6209.859469963523,High,140.5077003520169,33.16845801158305,20.82355162855166,26.996004820067355,31.495452867567746,Low,70.46567789121949,95.21525717122275,99.9451914119471,36.85710489437317,High,3.008608504843421,1.4478810432505909,8.691926015776891,2.1639545427277374,High
Uttar Pradesh,Agra,16,Agra (M Corp.) WARD NO.-0016,0.5967884142347643,16066.0,8516.0,7550.0,1932.0,2805,887.0,11076.0,4990,5691,1,4460,3663,797,11606,46.119147081903265,42.35542628000002,49.39654747999998,0.7906174395974972,47.71231718560323,5.461290360300337,1.2166527976949197,5.3228661576424425,0.011995921085975594,0.2105514687363042,20.050959551656952,0.27462661995015053,93.27026581228498,50.235799706241366,56.47077785915107,74.97465594564606,5701.178572381711,9553.098613169432,178.90026713685555,5701.178572381711,100,High,0.18897491513173992,0.072487175,0.3776462333333333,56.07325219772805,0.11368049236935254,13.700836162275333,215.99293550176986,85.78561183806568,Low,182.09868913072393,0.023450656040512833,10.893673604856641,1635.0,2208.0,30.912,CRITICAL,5724.778402246213,Medium,100.65769990085141,33.78571138211385,20.027693089430922,26.906702235772386,21.120451186652854,Low,69.90176853627308,62.84505120657123,90.2177174683023,64.36156402164629,High,2.59197410471852,0.9777937287371437,8.648603586481658,2.0592009796668562,Low
Uttar Pradesh,Agra,56,Agra (M Corp.) WARD NO.-0056,0.2619455303666251,10437.0,5596.0,4841.0,1215.0,1653,865.0,6078.0,4359,2710,0,3765,2889,876,6672,46.66948838139019,45.629889440000056,48.32328920000003,1.3409587390844209,47.51474192641709,6.011631659787233,0.5985091343301927,6.012685399253886,0.5792056094328568,0.11478201308068152,20.93173020514868,0.0,99.97238979378234,33.45448430520501,91.983689245011,41.710152837510506,4191.404727920832,16001.054578234045,188.73449977265147,4191.404727920832,100,High,0.17738315201317684,0.10164219999999999,0.2869045416666667,79.85587334146783,0.06402697891865261,14.087228266227436,121.65125994543996,99.67170201143362,High,195.39076496846974,0.0,5.183407438919656,778.0,1051.0,14.714,CRITICAL,4011.1841972799857,High,132.47575303250886,33.01131712962967,20.594902777777804,26.803109953703736,32.98168283579301,Low,67.80551917575322,95.07570104692391,99.98645632557782,32.866817999172085,High,3.048431618959576,1.4646452424298673,8.341029769031488,2.318874561433982,High
Uttar Pradesh,Agra,71,Agra (M Corp.) WARD NO.-0071,1.1974838208740983,17695.0,9488.0,8207.0,2131.0,2935,865.0,12150.0,5545,651,7,6070,4526,1544,11625,44.628213800335466,40.78313708000002,46.74074594000001,-0.7003158419703013,45.691372425431,3.9703570787325457,0.9580474046257306,4.193387558088259,0.16172930224331541,0.26141255937385194,20.1821073873402,0.4557379709177222,79.15963099664874,61.58995662134834,52.44717582706985,36.34119573168862,14061.835577003629,11742.81884388154,78.15792530013559,14061.835577003629,100,Low,0.17221468582407917,0.07609663750000001,0.3637391333333333,37.39810733638243,0.21825857355405703,14.259510472530692,414.69128975270837,71.31661432833513,Low,113.94985717169097,0.13699633510440715,18.999044475293612,2850.0,3848.0,53.872,CRITICAL,14187.799727675492,Low,111.8699985264312,32.5749754901961,20.177426470588266,26.376200980392184,32.8660339793359,Low,43.62063949092602,48.610307248082385,73.0427465743632,32.10098721600378,Low,2.088543497684079,0.5121332612570568,9.551290821915645,1.8624538601365423,Low
